DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2000-0613-LKA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,LKA,Sri Lanka,Southern Asia,Asia,"Galle, Matara districts (Southern province)",Heavy rains,,No,No,No,,8000,Km2,,,Gin Ganga,2000,9,18,2000,9,22,2,,100000,,100000,,,,,,,56.5142905592776,"[{""adm2_code"":25846,""adm2_name"":""Galle""},{""adm2_code"":25848,""adm2_name"":""Matara""}]",2004-10-21,2023-09-25
2000-0617-BGD,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,BGD,Bangladesh,Southern Asia,Asia,"Gangni, Meherpur Sadar areas (Meherpur district, Khulna province), Daulatpur, Kushtia Sadar, Bheramara areas (Kushtia district, Khulna province), Jibannagar, Alamdanga, Cuadanda Sadar, Damurhuda areas (Chuadanga district, Khulna province), Maheshpur, Kotchandpur areas (Jhenaidah district, Khulna province), Paba, Godagari, Tanor, Mohanpur areas (Rajshahi district, Rajshahi province)",,,No,No,No,4675,162,Km2,,,,2000,9,,2000,10,,31,,2467138,,2467138,,,,,500000,884732,56.5142905592776,"[{""adm2_code"":5796,""adm2_name"":""Chuadanga""},{""adm2_code"":5798,""adm2_name"":""Jhenaidah""},{""adm2_code"":5800,""adm2_name"":""Kushtia""},{""adm2_code"":5802,""adm2_name"":""Meherpur""},{""adm2_code"":5817,""adm2_name"":""Rajshahi""}]",2005-07-19,2023-09-25
2000-0618-IRN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,Gonbad-e Kavus district (Golestan province),,,No,No,No,,,Km2,,,,2000,9,24,2000,9,24,2,,,,,,,,,,,56.5142905592776,"[{""adm2_code"":40968,""adm2_name"":""Gonbad-e Kavus""}]",2003-07-01,2023-09-25
2000-0738-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,North 24 Parganas district (West Bengal province),,,No,No,No,,309,Km2,,,,2000,10,19,2000,10,19,6,,534035,,534035,,,,,,,56.5142905592776,"[{""adm2_code"":70293,""adm2_name"":""North 24 Parganas""}]",2003-07-01,2023-09-25
2000-0741-LKA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,LKA,Sri Lanka,Southern Asia,Asia,"Ampara, Batticaloa districts (Eastern province), Polonnaruwa district (North Central province)",Monsoonal rain,,No,No,No,,7600,Km2,,,,2000,11,18,2000,11,22,3,,300000,,300000,,,,,3000,5308,56.5142905592776,"[{""adm2_code"":25832,""adm2_name"":""Ampara""},{""adm2_code"":25833,""adm2_name"":""Batticaloa""},{""adm2_code"":25836,""adm2_name"":""Polonnaruwa""}]",2004-10-19,2023-09-25
2000-0862-IRN,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Lorestan, Khuzestan, Gilan provinces",Brief torrential rains,,No,No,No,,83730,Km2,,,,2000,11,30,2000,12,2,,,,,,,,,,,,56.5142905592776,"[{""adm1_code"":1545,""adm1_name"":""Gilan""},{""adm1_code"":1551,""adm1_name"":""Khuzestan""},{""adm1_code"":1555,""adm1_name"":""Lorestan""}]",2004-10-18,2023-09-25
2001-0049-LKA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,LKA,Sri Lanka,Southern Asia,Asia,Matale district (Central province),,,No,No,No,,,Km2,,,,2001,2,,2001,2,,,,,160,160,,,,,,,58.1114743743821,"[{""adm2_code"":25830,""adm2_name"":""Matale""}]",2003-07-01,2023-09-25
2001-0180-IRN,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,Bojnord district (Khorasan province),Brief torrential rain,,No,No,No,,2130,Km2,,,,2001,5,6,2001,5,6,32,50,1250,,1300,,,,,,,58.1114743743821,"[{""adm2_code"":40910,""adm2_name"":""Bojnord""}]",2005-09-19,2023-09-25
2001-0243-IND,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,"Silchar city (Cachar district, Assam province), Patharkandi village (Karimganj district, Assam province), West Tripura district (Tripura province)",Moosonal rain,,No,No,No,,,Km2,,,,2001,6,5,2001,6,22,5,,700000,,700000,,,,,,,58.1114743743821,"[{""adm2_code"":17577,""adm2_name"":""Cachar""},{""adm2_code"":17585,""adm2_name"":""Karimganj""},{""adm2_code"":17887,""adm2_name"":""West Tripura""}]",2005-09-19,2023-09-25
2001-0332-IND,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,"Marshagal, Mahakalpada villages (Kendrapara district, Orissa province), Kakatpur, Astaranga, Kanas, Delanga villages (Puri district, Orissa province), Banki, Kantapada villages (Cuttack district, Orissa province), Balipatna villages (Khordha district, Orissa province), Atharmalik villages (Angul district, Orissa province), Jajpur, Jagatsinghpur, Kalahandi, Koraput, Bolangir, Nayagarh, Baleshwar, Bhadrak districts (Orissa province), Dhamtari, Raipur, Mahasamund, Janjgir-Champa, Raigarh districts (Chhattisgarh province)",Monsoonal rain,,Yes,No,No,6430,105100,Km2,,,,2001,7,8,2001,7,10,100,,9670000,,9670000,,,,,90000,154875,58.1114743743821,"[{""adm2_code"":17809,""adm2_name"":""Cuttack""},{""adm2_code"":17812,""adm2_name"":""Kalahandi""},{""adm2_code"":17814,""adm2_name"":""Koraput""},{""adm2_code"":17818,""adm2_name"":""Puri""},{""adm2_code"":70206,""adm2_name"":""Angul""},{""adm2_code"":70207,""adm2_name"":""Baleshwar""},{""adm2_code"":70209,""adm2_name"":""Bhadrak""},{""adm2_code"":70210,""adm2_name"":""Bolangir""},{""adm2_code"":70214,""adm2_name"":""Jagatsinghpur""},{""adm2_code"":70215,""adm2_name"":""Jajpur""},{""adm2_code"":70218,""adm2_name"":""Kendrapara""},{""adm2_code"":70219,""adm2_name"":""Khordha""},{""adm2_code"":70222,""adm2_name"":""Nayagarh""},{""adm2_code"":70108,""adm2_name"":""Dhamtari""},{""adm2_code"":70109,""adm2_name"":""Janjgir-Champa""},{""adm2_code"":70115,""adm2_name"":""Mahasamund""},{""adm2_code"":70116,""adm2_name"":""Raipur""},{""adm2_code"":70297,""adm2_name"":""Raigarh""}]",2005-09-20,2023-09-25
