Year,Country,ISO,Disaster Type,Disaster Subtype,Location,Total Deaths,No. Injured,No. Homeless,Total Affected
2015,India,IND,Storm,Lightning/Thunderstorms,"Tripura,",1,,10000,10000
2015,India,IND,Storm,Lightning/Thunderstorms,"Gujarat,Punjab,Himachal_Pradresh,Haryana,Maharashtra,Bihar,Uttar_Pradesh,Madhya_Pradesh,Rajasthan,Jammu_Kashmir,Uttarakhand,Coastal_West_Bengal,",27,,,
2015,India,IND,Storm,Severe weather,"Purnia,Madhepura,Madhubani,Supaul,Sitamarhi,Bihar,",100,100,125000,125100
2015,India,IND,Storm,Lightning/Thunderstorms,"Deogarh,Nabarangpur,Malkangiri,Coastal_Odisha,Coastal_Andhra_Pradesh,",32,,,
2015,India,IND,Storm,Lightning/Thunderstorms,"Coastal_Andhra_Pradesh,",23,,,
2015,India,IND,Storm,Lightning/Thunderstorms,"Maharashtra,",29,,,
2016,India,IND,Storm,Lightning/Thunderstorms,"Muzaffarpur,Patna,Siwan,Bihar,",11,,,
2016,India,IND,Storm,Lightning/Thunderstorms,"Bihar,Uttar_Pradesh,Jharkhand,Madhya_Pradesh,",93,,,
2016,India,IND,Storm,Tropical cyclone,"Chennai,Coastal_Tamil_Nadu,Coastal_Andhra_Pradesh,",24,,,
2017,India,IND,Storm,Tropical cyclone,"Manipur,Mizoram,",,,1970,1970
2017,India,IND,Storm,Lightning/Thunderstorms,"Vaishali,Saran,Patna,Gaya,Sasaram,Araria,Nalanda,Bihar,",23,12,,12
2017,India,IND,Storm,Tropical cyclone,"Coastal_Kerala,Thiruvananthapuram,Kozhikode,Ernakulam,Coastal_Tamil_Nadu,Kanyakumari_Munchirai,Thiruvattar,Killiyur,Kurunthancode,Rajakkamangalam,Tirunelveli,Tuticorin,Coastal_Andhra_Pradesh,Chittoor,Nellor,Lakshadweep,",884,,60000,60000
2017,India,IND,Storm,Lightning/Thunderstorms,"Jamui,Champaran,Vaishali,Samastipur,Bihar,",29,,1250,1250
2017,India,IND,Storm,Lightning/Thunderstorms,"Maldah,West_Bengal,",4,20,,60020
2018,India,IND,Storm,Lightning/Thunderstorms,"Uttar_Pradesh,Rajasthan,",42,200,,200
2018,India,IND,Storm,Lightning/Thunderstorms,"Kolkata,",18,50,22000,22050
2018,India,IND,Storm,Lightning/Thunderstorms,"Uttar_Pradesh,Bengale,Bihar,Coastal_Andhra_Pradesh,",95,,,
2018,India,IND,Storm,Sand/Dust storm,"Rajasthan,Uttar_Pradesh,",143,200,,200
2018,India,IND,Storm,Lightning/Thunderstorms,"Uttar_Pradesh,Kerala,Maharashtra,Mizoram,Rajasthan,",42,,,
2018,India,IND,Storm,Storm (General),"Uttar_Pradesh,Coastal_West_Bengal,Hill_Assam,Tripura,Manipur,Mizoram,",61,,,
2018,India,IND,Storm,Lightning/Thunderstorms,"Uttar_Pradesh,Coastal_West_Bengal,Tripura,",32,,21000,21000
2018,India,IND,Storm,Lightning/Thunderstorms,"Uttar_Pradesh,Bihar,Jharkhand,",54,,,
2018,India,IND,Storm,Tropical cyclone,"Mandasa,Godalpur,Gajapati,Ganjam,Rayagada,Puri,Kandhamal,Coastal_Andhra_Pradesh,Coastal_Odisha,",85,200,300000,300200
2018,India,IND,Storm,Tropical cyclone,"Coastal_Tamil_Nadu,Nagapattinam,Tiruvarur,Thanjavur,Pudukottai,Dindigul,Ramnad,Chennai,Sivaganga,Theni,Madurai,",45,,500000,500000
2018,India,IND,Storm,Tropical cyclone,"Coasal_Andhra_Pradesh,Coastal_Odisha,",8,,10000,10000
2019,India,IND,Storm,Storm (General),"Gujarat,Rajasthan,Madhya_Pradesh,Maharashtra,",50,,,
2019,India,IND,Storm,Tropical cyclone,"Coastal_Odisha,",50,,20000000,20000000
2019,India,IND,Storm,Lightning/Thunderstorms,"Coastal_Odisha,Hyderabad,",10,,,
2019,India,IND,Storm,Lightning/Thunderstorms,"Uttar_Pradesh,Maharashtra,Bihar,",50,,,
2019,India,IND,Storm,Tropical cyclone,"Hill_Assam,Meghalaya,Tripura,Mizoram,Coastal_West_Begal,Coastal_Odisha,",12,,130000,130000
2020,India,IND,Storm,Blizzard/Winter storm,"Jammu_Kashmir,",11,,,
2020,India,IND,Storm,Tropical cyclone,"Balasore,Baleshwar,Bhadrak,Kendrapada,Jagatsinghpur,Coastal_ Odisha),East_Midunapur,West_Midhunapur,North_24_Parganas,South_24_Parganas,Nadia,Howrah,Kolkata,Hooghly,Coastal_ West_Bengal,",90,,18000000,18000000
2020,India,IND,Storm,Tropical cyclone,"Raigad,Pune,Maharashtra,",6,,7500,7500
2020,India,IND,Storm,Tropical cyclone,"Coastal_Tamil_Nadu,Puducherry",14,,,
