Year,Country,ISO,Disaster Type,Disaster Subtype,Location,Total Deaths,No. Injured,No. Homeless,Total Affected
2014,India,IND,Storm,Tropical cyclone,"Vishakhapatnam, Gangavaram towns (Vishakhapatnam district, Andhra Pradesh province), Baragarh, Bolangir, Boudh, Gajapati, Ganjam, Kalahandi, Kandhamal, Khordha, Koraput, Malkangiri, Nabarangpur, Nayagarh, Nuapada, Puri, Rayagada, Sonepur districts (Orissa province), Chhattisgarh province",53.0,,920000.0,920000.0
2014,India,IND,Storm,Storm (General),Uttar Pradesh province,27.0,,,
2014,India,IND,Storm,Lightning/Thunderstorms,Hyderabad district (Andhra Pradesh province),7.0,58.0,1870.0,1928.0
2015,India,IND,Storm,Lightning/Thunderstorms,Tripura province,1.0,,10000.0,10000.0
2015,India,IND,Storm,Lightning/Thunderstorms,"Gujarat, Punjab, Himachal Pradresh, Haryana, Maharashtra, Bihar, Uttar Pradesh, Madhya Pradesh, Rajasthan, Jammu and Kashmir, Uttarakhand, West Bengal provinces",27.0,,,
2015,India,IND,Storm,Severe weather,"Purnia, Madhepura, Madhubani, Supaul, Sitamarhi districts (Bihar province)",100.0,100.0,125000.0,125100.0
2015,India,IND,Storm,Lightning/Thunderstorms,"Deogarh, Nabarangpur, Malkangiri districts (Orissa province), Andhra Pradesh province",32.0,,,
2015,India,IND,Storm,Lightning/Thunderstorms,Andhra Pradesh province,23.0,,,
2015,India,IND,Storm,Lightning/Thunderstorms,Maharashtra province,29.0,,,
2016,India,IND,Storm,Lightning/Thunderstorms,"Muzaffarpur, Patna, Siwan districts (Bihar province)",11.0,,,
2016,India,IND,Storm,Lightning/Thunderstorms,"Bihar, Uttar Pradesh, Jharkhand, Madhya Pradesh provinces",93.0,,,
2016,India,IND,Storm,Tropical cyclone,Chennai district (Tamil Nadu province); Andhra Pradesh,24.0,,,
2017,India,IND,Storm,Tropical cyclone,"Manipur, Mizoram",,,1970.0,1970.0
2017,India,IND,Storm,Lightning/Thunderstorms,"Vaishali, Saran, Patna, Gaya, Sasaram (Rohta), Araria, Nalanda districts (Bihar)",23.0,12.0,,12.0
2017,India,IND,Storm,Tropical cyclone,"Kerala (Thiruvananthapuram, Kozhikode,Ernakulam),Tamil Nadu (Kanyakumari-Munchirai, Thiruvattar,Killiyur, Kurunthancode, Rajakkamangalam-, Tirunelveli, Tuticorin districts), Andhra Pradesh (Chittoor and Nellore), Lakshadweep Islands",884.0,,60000.0,60000.0
2017,India,IND,Storm,Lightning/Thunderstorms,"Jamui, Champaran, Vaishali, Samastipur, Bihar",29.0,,1250.0,1250.0
2017,India,IND,Storm,Lightning/Thunderstorms,Maldah (West Bengal),4.0,20.0,,60020.0
2018,India,IND,Storm,Lightning/Thunderstorms,"Uttar Pradesh, Rajasthan",42.0,200.0,,200.0
2018,India,IND,Storm,Lightning/Thunderstorms,Kolkata,18.0,50.0,22000.0,22050.0
2018,India,IND,Storm,Lightning/Thunderstorms,"Uttar Pradesh, Bengale occidental, Bihar, Andhra Pradesh",95.0,,,
2018,India,IND,Storm,Sand/Dust storm,"Rajasthan, Uttar Pradesh",143.0,200.0,,200.0
