Year,Country,ISO,Disaster Type,Disaster Subtype,Location,Total Deaths,No. Injured,No. Homeless,Total Affected
2006,India,IND,Flood,Riverine flood,"Madhya_Pradesh,Maharashtra,Rajasthan,",61,113,,113
2006,India,IND,Flood,Flash flood,"Madhya_Pradesh,",39,,,
2007,India,IND,Flood,Riverine flood,"Assam,",15,,200000,200000
2007,India,IND,Flood,Riverine flood,"Daman_Diu,Gujarat,Rajasthan,Madhya_Pradesh,",225,,63000,63000
2007,India,IND,Flood,Riverine flood,"Maharashtra,",62,,10000,10000
2007,India,IND,Flood,Riverine flood,"Chhattisgarh,",29,,50000,50000
2007,India,IND,Flood,Flash flood,"Andhra_Pradesh,Kerala,Karnataka,Maharashtra,",127,,200000,200000
2007,India,IND,Flood,Riverine flood,"Tripura,",,,,
2007,India,IND,Flood,Riverine flood,"Bihar,Uttar_Pradesh,Assam,Odisha,West_Bengal,",1103,,18700000,18700000
2007,India,IND,Flood,Riverine flood,"Himachal_Pradesh,",76,,15000,15000
2007,India,IND,Flood,Riverine flood,"Gujarat,",16,,,
2007,India,IND,Flood,Coastal flood,"Odisha,West_Bengal,",80,,7200000,7200000
2007,India,IND,Flood,Riverine flood,"Andhra_Pradesh,Karnataka,",94,,20000,20000
2007,India,IND,Flood,Riverine flood,"Andhra_Pradesh,Tamil_Nadu,",29,,50000,50000
2007,India,IND,Flood,Riverine flood,"Odisha,",15,,500000,500000
2007,India,IND,Flood,Riverine flood,"Assam,Arunachal_Pradesh,Meghalaya,Manipur,",96,,11100000,11100000
2007,India,IND,Flood,Riverine flood,"Kerala,",44,,35000,35000
2007,India,IND,Flood,Flood (General),"Rajasthan,Uttar_Pradesh,Madhya_Pradesh,Jammu_Kashmir,",40,8,,8
2008,India,IND,Flood,Flood (General),"Tamil_Nadu,Karnataka,",37,,10278,10278
2008,India,IND,Flood,Flash flood,"Assam,West_Bengal,Odisha,Bihar,Gujarat,Goa,Haryana,Kerala,Karnataka,Maharastra,Madhya_Pradesh,Punjab,Rajasthan,Uttar_Pradesh,Tamil_Nadu,Arunachal_Pradesh,Uttarakhand,Jharkhand,",1063,,7900000,7900000
2008,India,IND,Flood,Riverine flood,"Assam,Bihar,Gujarat,Goa,Haryana,Jharkhand,Kerala,Karnataka,Maharashtra,Madhya_Pradesh,Punjab,Odisha,Rajasthan,Uttarakhand,Uttar_Pradesh,Tamil_Nadu,West_Bengal,",,,50000,50000
2008,India,IND,Flood,Riverine flood,"Andhra_Pradesh,",74,,,
2008,India,IND,Flood,Riverine flood,"Odisha,Uttar_Pradesh,Himachal_Pradesh,",173,,,2400000
2008,India,IND,Flood,Riverine flood,"Bihar,Assam,",47,,2600000,2600000
2008,India,IND,Flood,Flash flood,"Tamil_Nadu,Puducherry,",54,,803740,803740
2008,India,IND,Flood,Riverine flood,"Assam,Uttar_Pradesh,Bihar,",142,,225000,225000
2009,India,IND,Flood,Flash flood,"New_Delhi,",11,,,
2009,India,IND,Flood,Riverine flood,"Bihar,Odisha,West_Bengal,Assam,Kerala,Gujarat,Karnataka,",992,,1886000,1886000
2009,India,IND,Flood,Riverine flood,"Karnataka,Andhra_Pradesh,Maharashtra,",355,,4100000,4100000
2009,India,IND,Flood,Riverine flood,"Meghalaya,",20,,,
2009,India,IND,Flood,Riverine flood,"Tamil_Nadu,",70,8,,8
2009,India,IND,Flood,Riverine flood,"Bihar,",52,,,
2010,India,IND,Flood,Riverine flood,"Haryana,Punjab,Kerala,",53,,,400000
2010,India,IND,Flood,Riverine flood,"Andhra_Pradesh,",27,,50000,50000
2010,India,IND,Flood,Riverine flood,"New_Delhi,",11,,,
2010,India,IND,Flood,Flash flood,"Jammu_Kashmir,",196,225,12500,12725
2010,India,IND,Flood,Riverine flood,"Assam,",,,30000,30000
2010,India,IND,Flood,Riverine flood,"Uttarakhand,Bihar,Uttar_Pradesh,",200,,3267183,3267183
2010,India,IND,Flood,Riverine flood,"Punjab,Haryana,Uttar_Pradesh,",,,12500,12500
2010,India,IND,Flood,Riverine flood,"Tamil_Nadu,",203,,,
2011,India,IND,Flood,Riverine flood,"West_Bengal,",47,,700000,700000
2011,India,IND,Flood,Riverine flood,"Odisha,",239,,3443989,3443989
2011,India,IND,Flood,Riverine flood,"Assam,Meghalaya,",7,,11000,11000
2011,India,IND,Flood,Riverine flood,"Assam,Bihar,Uttar_Pradesh,",204,,5549080,5549080
2011,India,IND,Flood,Riverine flood,"Uttar_Pradesh,Rajasthan,",19,,200000,200000
2011,India,IND,Flood,Riverine flood,"Odisha,",42,,2100000,2100000
2011,India,IND,Flood,Riverine flood,"Uttar_Pradesh,Uttarakhand,",50,,,
2012,India,IND,Flood,Riverine flood,"Arunachal_Pradesh,Assam,",120,,2200000,2200000
2012,India,IND,Flood,Riverine flood,"Rajasthan,Arunachal_Pradesh,",37,,,37500
2012,India,IND,Flood,Riverine flood,"Himachal_Pradesh,Uttarakhand,Uttar_Pradesh,Jammu_Kashmir,",30,,1200,1200
2012,India,IND,Flood,Riverine flood,"Uttarakhand,",45,,200,200
2012,India,IND,Flood,Riverine flood,"Assam,Bihar,Jharkhand,Sikkim,Uttar_Pradesh,West_Bengal,Arunachal_Pradesh,",21,,2000000,2000000
2012,India,IND,Flood,Riverine flood,"Himachal_Pradesh,",26,,9460,9460
2013,India,IND,Flood,Riverine flood,"Uttarakhand,Himachal_Pradesh,Uttar_Pradesh,Bihar,Karnataka,Kerala,Gujarat,West_Bengal,",6054,4473,500000,504473
2013,India,IND,Flood,Riverine flood,"Uttar_Pradesh,",174,,500000,500000
2013,India,IND,Flood,Flood (General),"Assam,",80,,2000000,2000000
2013,India,IND,Flood,Riverine flood,"Madhya_Pradesh,Uttar_Pradesh,Assam,",73,,40000,40000
2013,India,IND,Flood,Riverine flood,"Odisha,Andhra_Pradesh,West_Bengal,",72,,375000,375000
2014,India,IND,Flood,Riverine flood,"Assam,",27,,18500,18500
2014,India,IND,Flood,Riverine flood,"Uttarakhand,Himachal_Pradesh,",26,,,
2014,India,IND,Flood,Riverine flood,"Odisha,",35,,179000,179000
2014,India,IND,Flood,Riverine flood,"Jammu_Kashmir,",298,,275000,275000
2014,India,IND,Flood,Riverine flood,"Meghalaya,Assam,",95,,,650000
2014,India,IND,Flood,Riverine flood,"Uttar_Pradesh,Uttarakhand,Bihar,Assam,",94,,500000,500000
2014,India,IND,Flood,Riverine flood,"Odisha,",47,,3600000,3600000
2015,India,IND,Flood,Flash flood,"Jammu_Kashmir,",44,25,,2122
2015,India,IND,Flood,Flash flood,"Tamil_Nadu,",8,,200,200
2015,India,IND,Flood,Riverine flood,"Gujarat,Maharashtra,",81,,9000,9000
2015,India,IND,Flood,Riverine flood,"West_Bengal,",40,,,1000
2015,India,IND,Flood,Riverine flood,"Gujarat,West_Bengal,Assam,Manipur,Odisha,Rajasthan,Madhya_Pradesh,",293,,13709887,13709887
2015,India,IND,Flood,Riverine flood,"Rajasthan,Uttar_Pradesh,Jammu_Kashmir,Arunachal_Pradesh,Uttarakhand,Punjab,Haryana,Himachal_Pradesh,",25,,,
2015,India,IND,Flood,Flood (General),"Assam,",5,,18000,18000
2015,India,IND,Flood,Flood (General),"Assam,",18,,736000,787000
2015,India,IND,Flood,Flood (General),"Assam,Arunachal_Pradesh,",,,85250,85250
2015,India,IND,Flood,Flood (General),"Andhra_Pradesh,Tamil_Nadu,Puducherry,",325,1000,1800000,1801000
2016,India,IND,Flood,Flood (General),"Arunachal_Pradesh,Assam,Nagaland,",18,,100000,100000
2016,India,IND,Flood,Flash flood,"Uttarakhand,Assam,Arunachal_Pradesh,",61,,,
2016,India,IND,Flood,Flash flood,"Assam,",50,,,2000000
2016,India,IND,Flood,Flood (General),"Bihar,Uttar_Pradesh,",254,,1600000,1600000
2016,India,IND,Flood,Flood (General),"Madhya_Pradesh,",184,,100000,100000
2016,India,IND,Flood,Flood (General),"Maharashtra,Gujarat,",37,,3000,3000
2016,India,IND,Flood,Flood (General),"Andhra_Pradesh,Telangana,",28,,3000,3000
2016,India,IND,Flood,Flood (General),"Assam,",34,,,
2017,India,IND,Flood,Flood (General),"Assam,Nagaland,Manipur,Jharkhand,",6,,100000,100000
2017,India,IND,Flood,Flood (General),"Gujarat,",31,,,
2017,India,IND,Flood,Riverine flood,"Assam,",75,,1735000,1735000
2017,India,IND,Flood,Flood (General),"Manipur,",,,12831,12831
2017,India,IND,Flood,Flood (General),"Gujarat,Rajasthan,West_Bengal,",284,,520000,520000
2017,India,IND,Flood,Flood (General),"Bihar,Uttar_Pradesh,West_Bengal,",514,,17200000,17200000
2017,India,IND,Flood,Flash flood,"Maharashtra,",14,12,,12
2017,India,IND,Flood,Flash flood,"Tamil_Nadu,",21,,4000,4000
2017,India,IND,Flood,Flood (General),"Uttar_Pradesh,",101,,2700000,2700000
2018,India,IND,Flood,Flood (General),"Assam,Maharashtra,Gujarat,",52,,,
2018,India,IND,Flood,Flash flood,"Tripura,",15,24,11704,11728
2018,India,IND,Flood,Flood (General),"Karnataka,",12,,4945,4945
2018,India,IND,Flood,Flood (General),"Uttar_Pradesh,Rajasthan,",33,45,1500,1545
2018,India,IND,Flood,Flood (General),"Odisha,",20,,41430,41430
2018,India,IND,Flood,Flash flood,"Kerala,West_Bengal,Odisha,Assam,Nagaland,Uttar_Pradesh,Himachal_Pradesh,Maharashtra,",504,,23000000,23220000
2018,India,IND,Flood,Flood (General),"Assam,West_Bengal,",3,,25000,25000
2018,India,IND,Flood,Flood (General),"Uttar_Pradesh,",46,,,3050
2018,India,IND,Flood,Flood (General),"Punjab,Haryana,",25,,,
2019,India,IND,Flood,Flood (General),"Maharashtra,",52,60,,60
2019,India,IND,Flood,Flood (General),"Bihar,Assam,Maharashtra,Kerala,Rajasthan,West_Bengal,Karnataka,Uttarakand,Himachal_Pradesh,Punjab,Uttar_Pradesh,Odisha,",1900,,3000000,3000000
2019,India,IND,Flood,Flood (General),"West_Bengal, Kerala, Odisha, Maharashtra,",32,,17500,17500
2019,India,IND,Flood,Flood (General),"Karnataka,Kerala,Tamil_Nadu,",12,,27500,27500
2019,India,IND,Flood,Flood (General),"Tamil_Nadu,Puducherry,",27,,25000,25000
2020,India,IND,Flood,Flood (General),"Uttar_Pradesh,",29,,,
2020,India,IND,Flood,Flood (General),"Assam,Sikkim,",1,2,30000,30002
2020,India,IND,Flood,Flood (General),"Jammu_Kashmir,",,,5000,5000
2020,India,IND,Flood,Flood (General),"Assam,Bihar,Gujarat,Chhattisgarh,Kerala,Karnataka,Madhya_Pradesh,Odisha,Uttar_Pradesh,West_Bengal,Arunachal_Pradesh,Maharashtra,",1922,,1300000,1300000
2020,India,IND,Flood,Flood (General),"Hyderabad,Telangana,Andhra_Pradesh,Karnataka,Odisha ",152,,150000,150000
